data_source,participant_id,condition,depth,question_no,time_ms,focus,correct
SIMULATED,S01,platform,advanced,1,26507,51,0
SIMULATED,S01,platform,advanced,2,23082,59,1
SIMULATED,S01,platform,advanced,3,28900,65,1
SIMULATED,S01,platform,advanced,4,36464,49,0
SIMULATED,S01,platform,advanced,5,26917,70,1
SIMULATED,S01,platform,advanced,6,18847,79,1
SIMULATED,S01,platform,advanced,7,24499,70,1
SIMULATED,S01,platform,advanced,8,29895,49,0
SIMULATED,S01,platform,advanced,9,27188,60,1
SIMULATED,S01,platform,advanced,10,26529,59,1
SIMULATED,S02,platform,foundation,1,24668,67,0
SIMULATED,S02,platform,foundation,2,19919,76,1
SIMULATED,S02,platform,foundation,3,10643,84,1
SIMULATED,S02,platform,foundation,4,12412,78,1
SIMULATED,S02,platform,foundation,5,14946,75,1
SIMULATED,S02,platform,foundation,6,11079,86,1
SIMULATED,S02,platform,foundation,7,15068,90,1
SIMULATED,S02,platform,foundation,8,10408,90,1
SIMULATED,S02,platform,foundation,9,26416,64,0
SIMULATED,S02,platform,foundation,10,19700,77,1
SIMULATED,S03,platform,foundation,1,19130,75,0
SIMULATED,S03,platform,foundation,2,29025,59,0
SIMULATED,S03,platform,foundation,3,13586,81,1
SIMULATED,S03,platform,foundation,4,21462,83,1
SIMULATED,S03,platform,foundation,5,22563,70,1
SIMULATED,S03,platform,foundation,6,15390,81,1
SIMULATED,S03,platform,foundation,7,15390,81,1
SIMULATED,S03,platform,foundation,8,23284,77,1
SIMULATED,S03,platform,foundation,9,28614,60,1
SIMULATED,S03,platform,foundation,10,29324,56,0
SIMULATED,S04,platform,advanced,1,30314,61,1
SIMULATED,S04,platform,advanced,2,27891,70,1
SIMULATED,S04,platform,advanced,3,29051,69,1
SIMULATED,S04,platform,advanced,4,31632,55,0
SIMULATED,S04,platform,advanced,5,36613,44,0
SIMULATED,S04,platform,advanced,6,30211,60,0
SIMULATED,S04,platform,advanced,7,41808,42,1
SIMULATED,S04,platform,advanced,8,26968,69,1
SIMULATED,S04,platform,advanced,9,42887,46,1
SIMULATED,S04,platform,advanced,10,43922,45,0
